SEX,ECONOMIC,NS-SEC,Tenture,Internet,NPH,NAH,NCH,GFR,INCOME,GWHI,TWE
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,159,198
Female,Part-time working,Routine and manual occupations,Public rented,No,1,1,0,Yorkshire and the Humber,earnings,373,245
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,454,268
Female,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,1,1,0,Yorkshire and the Humber,earnings,599,507
Male,Full-time working,Intermediate occupations,Private rented,No,1,1,0,Yorkshire and the Humber,earnings,100,125
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Yorkshire and the Humber,other source,259,217
Male,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Owned,Yes,1,1,0,Yorkshire and the Humber,other source,138,58
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Yorkshire and the Humber,other source,179,157
Male,Full-time working,Intermediate occupations,Owned,No,1,1,0,Yorkshire and the Humber,earnings,382,125
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Yorkshire and the Humber,other source,159,171
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,180,120
Male,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,No,1,1,0,Yorkshire and the Humber,other source,76,81
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,254,73
Female,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Yorkshire and the Humber,other source,154,173
Male,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Yorkshire and the Humber,other source,425,272
Female,Part-time working,Intermediate occupations,Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,404,243
Male,Part-time working,Routine and manual occupations,Public rented,No,1,1,0,Yorkshire and the Humber,earnings,369,273
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Yorkshire and the Humber,other source,375,269
Male,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Yorkshire and the Humber,other source,112,189
Female,Economically inactive,Routine and manual occupations,Owned,Yes,1,1,0,Yorkshire and the Humber,other source,115,159
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,367,136
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Yorkshire and the Humber,other source,253,129
Female,Economically inactive,Not classified for other reasons,Private rented,No,1,1,0,Yorkshire and the Humber,other source,106,194
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,883,709
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Yorkshire and the Humber,other source,146,46
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Yorkshire and the Humber,other source,154,120
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,723,594
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Yorkshire and the Humber,other source,244,191
Male,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Private rented,Yes,1,1,0,Yorkshire and the Humber,other source,140,117
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,287,282
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Yorkshire and the Humber,other source,261,121
Female,Full-time working,Routine and manual occupations,Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,345,367
Male,Full-time working,Intermediate occupations,Public rented,Yes,1,1,0,Yorkshire and the Humber,earnings,208,449
Female,Unemployed and work related Government Training Programmes,"Higher managerial, administrative and professional occupations",Public rented,Yes,1,1,0,Yorkshire and the Humber,earnings,40,111
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,No,1,1,0,Yorkshire and the Humber,earnings,450,283
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,238,220
Male,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,185,174
Female,Economically inactive,Not classified for other reasons,Private rented,No,1,1,0,Yorkshire and the Humber,other source,307,199
Male,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,1,1,0,Yorkshire and the Humber,earnings,897,438
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,223,148
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,145,266
Male,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,1,1,0,Yorkshire and the Humber,earnings,540,391
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,537,485
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Yorkshire and the Humber,other source,251,154
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,131,116
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,1185,650
Female,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Private rented,Yes,1,1,0,Yorkshire and the Humber,other source,0,147
Female,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Private rented,Yes,1,1,0,Yorkshire and the Humber,other source,327,396
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Yorkshire and the Humber,other source,173,246
Female,Unemployed and work related Government Training Programmes,Routine and manual occupations,Private rented,Yes,1,1,0,Yorkshire and the Humber,earnings,370,243
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,585,452
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,91,93
Male,Economically inactive,Intermediate occupations,Public rented,Yes,1,1,0,Yorkshire and the Humber,other source,111,180
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,301,98
Female,Part-time working,Routine and manual occupations,Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,200,306
Male,Economically inactive,Routine and manual occupations,Owned,Yes,1,1,0,Yorkshire and the Humber,other source,365,308
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Yorkshire and the Humber,other source,290,181
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Yorkshire and the Humber,other source,146,216
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,275,215
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,946,300
Female,Full-time working,Intermediate occupations,Owned,No,1,1,0,Yorkshire and the Humber,earnings,494,537
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,235,167
Male,Unemployed and work related Government Training Programmes,Routine and manual occupations,Public rented,Yes,1,1,0,Yorkshire and the Humber,other source,84,126
Female,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,1008,425
Male,Economically inactive,Routine and manual occupations,Public rented,No,1,1,0,Yorkshire and the Humber,other source,72,63
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Yorkshire and the Humber,other source,369,334
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Yorkshire and the Humber,other source,110,94
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,250,198
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Yorkshire and the Humber,other source,130,181
Female,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,368,150
Male,Full-time working,Intermediate occupations,Private rented,Yes,1,1,0,Yorkshire and the Humber,earnings,323,402
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,581,184
Male,Full-time working,Routine and manual occupations,Owned,No,1,1,0,Yorkshire and the Humber,earnings,346,253
Female,Unemployed and work related Government Training Programmes,Routine and manual occupations,Public rented,Yes,1,1,0,Yorkshire and the Humber,other source,179,258
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,307,131
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,387,213
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,258,79
Male,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,Yes,1,1,0,Yorkshire and the Humber,other source,60,62
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Yorkshire and the Humber,other source,513,198
Male,Full-time working,Routine and manual occupations,Private rented,Yes,1,1,0,Yorkshire and the Humber,earnings,482,304
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Yorkshire and the Humber,other source,233,247
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Yorkshire and the Humber,other source,355,195
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Yorkshire and the Humber,other source,620,465
Female,Part-time working,"Higher managerial, administrative and professional occupations",Owned,No,1,1,0,Yorkshire and the Humber,earnings,333,264
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,383,372
Male,Full-time working,Intermediate occupations,Owned,No,1,1,0,Yorkshire and the Humber,earnings,235,99
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Yorkshire and the Humber,earnings,1185,396
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,164,105
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,284,120
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Yorkshire and the Humber,other source,149,172
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Yorkshire and the Humber,other source,235,287
Male,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Yorkshire and the Humber,other source,416,250
Male,Economically inactive,Not classified for other reasons,Private rented,Yes,2,1,1,Eastern,other source,373,285
Male,Full-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,656,421
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,688,507
Female,Full-time working,Intermediate occupations,Owned,Yes,2,2,0,Eastern,earnings,521,675
Female,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,No,2,2,0,Eastern,other source,105,359
Male,Full-time working,Routine and manual occupations,Public rented,Yes,2,2,0,Eastern,other source,523,326
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,1185,968
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,1185,511
Male,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,other source,621,420
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,629,437
Female,Part-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,588,582
Male,Part-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,other source,829,631
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,489,288
Male,Full-time working,Routine and manual occupations,Owned,No,2,2,0,Eastern,earnings,782,209
Female,Full-time working,Intermediate occupations,Owned,Yes,2,1,1,Eastern,earnings,468,359
Female,Unemployed and work related Government Training Programmes,Routine and manual occupations,Public rented,No,2,1,1,Eastern,other source,81,64
Female,Part-time working,Routine and manual occupations,Private rented,Yes,2,1,1,Eastern,other source,304,331
Female,Unemployed and work related Government Training Programmes,Routine and manual occupations,Public rented,No,2,1,1,Eastern,other source,74,65
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,1,1,Eastern,earnings,809,229
Female,Part-time working,Intermediate occupations,Owned,No,2,1,1,Eastern,earnings,330,199
Male,Part-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,2,1,1,Eastern,earnings,243,494
Female,Full-time working,"Never worked and long term unemployed, students and occupation not stated",Owned,Yes,2,1,1,Eastern,earnings,663,531
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,1,1,Eastern,earnings,578,359
Female,Full-time working,Intermediate occupations,Public rented,Yes,2,1,1,Eastern,other source,209,312
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,1,1,Eastern,earnings,1002,716
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,1,1,Eastern,earnings,1176,724
Female,Economically inactive,Routine and manual occupations,Owned,Yes,2,1,1,Eastern,other source,185,256
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,1,1,Eastern,earnings,673,486
Female,Part-time working,Intermediate occupations,Private rented,Yes,2,1,1,Eastern,other source,307,230
Female,Part-time working,Routine and manual occupations,Private rented,Yes,2,1,1,London,other source,250,263
Female,Full-time working,Intermediate occupations,Private rented,Yes,2,1,1,London,earnings,571,575
Female,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Private rented,Yes,2,1,1,London,other source,151,94
Female,Part-time working,Routine and manual occupations,Public rented,Yes,2,1,1,London,earnings,99,131
Female,Part-time working,Intermediate occupations,Private rented,Yes,2,1,1,London,earnings,443,426
Male,Economically inactive,Routine and manual occupations,Private rented,No,2,1,1,London,other source,224,123
Female,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,Yes,2,1,1,London,other source,140,232
Female,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Public rented,No,2,1,1,London,other source,150,58
Female,Part-time working,Routine and manual occupations,Public rented,Yes,2,1,1,London,earnings,267,282
Female,Part-time working,Routine and manual occupations,Public rented,Yes,2,1,1,London,other source,299,135
Female,Full-time working,"Higher managerial, administrative and professional occupations",Public rented,Yes,2,1,1,London,earnings,313,222
Female,Part-time working,Routine and manual occupations,Public rented,No,2,1,1,Scotland,other source,248,197
Female,Part-time working,Routine and manual occupations,Public rented,Yes,2,1,1,Scotland,earnings,355,427
Female,Part-time working,Routine and manual occupations,Owned,Yes,2,1,1,Scotland,earnings,347,219
Female,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Owned,Yes,2,1,1,Scotland,other source,224,146
Female,Part-time working,Routine and manual occupations,Owned,Yes,2,1,1,Scotland,earnings,132,233
Female,Part-time working,Routine and manual occupations,Owned,Yes,2,1,1,Scotland,other source,265,227
Female,Full-time working,Intermediate occupations,Owned,Yes,2,1,1,Scotland,other source,662,398
Male,Part-time working,Routine and manual occupations,Private rented,Yes,2,1,1,South West,other source,231,345
Female,Part-time working,Routine and manual occupations,Public rented,Yes,2,1,1,South West,other source,256,199
Female,Part-time working,Routine and manual occupations,Owned,Yes,2,1,1,South West,earnings,550,480
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,1,1,South West,earnings,784,648
Female,Part-time working,"Higher managerial, administrative and professional occupations",Public rented,Yes,2,1,1,South West,other source,255,153
Female,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,1,1,South West,earnings,539,448
Female,Part-time working,Routine and manual occupations,Public rented,Yes,2,1,1,South West,earnings,178,201
Female,Part-time working,Routine and manual occupations,Public rented,Yes,2,1,1,South West,other source,317,255
Male,Full-time working,Routine and manual occupations,Public rented,No,2,1,1,South West,earnings,446,240
Female,Unemployed and work related Government Training Programmes,Intermediate occupations,Private rented,No,2,1,1,Yorkshire and the Humber,other source,149,215
Male,Unemployed and work related Government Training Programmes,Routine and manual occupations,Public rented,Yes,2,1,1,Yorkshire and the Humber,other source,90,121
Female,Part-time working,"Higher managerial, administrative and professional occupations",Owned,No,2,1,1,Yorkshire and the Humber,earnings,464,451
Female,Economically inactive,Routine and manual occupations,Public rented,No,2,1,1,Yorkshire and the Humber,other source,131,163
Female,Economically inactive,Routine and manual occupations,Public rented,Yes,2,1,1,Yorkshire and the Humber,other source,153,150
Female,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Owned,Yes,2,1,1,Yorkshire and the Humber,other source,303,233
Male,Economically inactive,Not classified for other reasons,Public rented,No,2,1,1,Yorkshire and the Humber,other source,199,219
Male,Economically inactive,Routine and manual occupations,Private rented,Yes,2,1,1,Yorkshire and the Humber,other source,153,202
Female,Unemployed and work related Government Training Programmes,Routine and manual occupations,Public rented,Yes,2,1,1,Yorkshire and the Humber,earnings,176,196
Female,Economically inactive,Routine and manual occupations,Public rented,Yes,2,1,1,Yorkshire and the Humber,other source,173,163
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,2,1,1,Yorkshire and the Humber,other source,208,191
Female,Part-time working,Routine and manual occupations,Private rented,Yes,2,1,1,Yorkshire and the Humber,earnings,337,442
Female,Part-time working,Intermediate occupations,Owned,Yes,2,1,1,Yorkshire and the Humber,earnings,370,387
Male,Full-time working,Routine and manual occupations,Public rented,Yes,2,1,1,Yorkshire and the Humber,earnings,522,492
Female,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,1,1,Yorkshire and the Humber,earnings,421,345
Female,Part-time working,Routine and manual occupations,Owned,Yes,2,1,1,Yorkshire and the Humber,other source,339,301
Female,Economically inactive,Routine and manual occupations,Private rented,No,2,1,1,Yorkshire and the Humber,other source,217,210
Male,Full-time working,Intermediate occupations,Owned,No,2,1,1,Yorkshire and the Humber,earnings,459,242
Female,Economically inactive,Routine and manual occupations,Public rented,No,2,1,1,Yorkshire and the Humber,other source,50,131
Female,Full-time working,Intermediate occupations,Private rented,Yes,2,1,1,Yorkshire and the Humber,earnings,631,415
Female,Economically inactive,Routine and manual occupations,Public rented,Yes,2,1,1,Yorkshire and the Humber,other source,161,349
Female,Full-time working,Intermediate occupations,Owned,Yes,2,1,1,Yorkshire and the Humber,earnings,418,171
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,No,2,1,1,Yorkshire and the Humber,earnings,769,1175
Male,Full-time working,Routine and manual occupations,Private rented,Yes,2,2,0,Eastern,earnings,496,343
Male,Full-time working,Intermediate occupations,Owned,Yes,2,2,0,Eastern,earnings,838,277
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,825,319
Male,Economically inactive,Not classified for other reasons,Public rented,Yes,2,2,0,Eastern,other source,251,244
Male,Part-time working,Intermediate occupations,Owned,Yes,2,2,0,Eastern,earnings,692,443
Male,Full-time working,Routine and manual occupations,Private rented,Yes,2,2,0,Eastern,earnings,467,337
Male,Full-time working,Intermediate occupations,Public rented,Yes,2,2,0,Eastern,earnings,568,745
Female,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,252,230
Male,Full-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,756,477
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,1185,707
Female,Economically inactive,Not classified for other reasons,Private rented,Yes,2,2,0,Eastern,other source,232,283
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,799,1175
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,905,389
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,479,520
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,1185,1175
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,761,342
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,723,398
Female,Full-time working,Intermediate occupations,Owned,Yes,2,2,0,Eastern,earnings,472,1003
Female,Part-time working,Routine and manual occupations,Private rented,No,2,2,0,Eastern,earnings,498,274
Female,Part-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,163,503
Male,Economically inactive,Not classified for other reasons,Owned,No,2,2,0,Eastern,other source,261,270
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,373,391
Male,Full-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,957,682
Male,Full-time working,Intermediate occupations,Owned,Yes,2,2,0,Eastern,earnings,875,675
Female,Full-time working,"Higher managerial, administrative and professional occupations",Public rented,Yes,2,2,0,Eastern,earnings,911,543
Male,Full-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,1178,552
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,451,271
Male,Full-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,1093,1175
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,934,742
Male,Full-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,655,571
Male,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,2,2,0,Eastern,earnings,1162,497
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,477,267
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,1185,1175
Female,Part-time working,Routine and manual occupations,Public rented,Yes,2,2,0,Eastern,earnings,236,478
Female,Full-time working,Routine and manual occupations,Public rented,Yes,2,2,0,Eastern,earnings,476,319
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,390,223
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,2,2,0,Eastern,earnings,318,299
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,323,265
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,1027,748
Male,Full-time working,Routine and manual occupations,Public rented,No,2,2,0,Eastern,earnings,711,373
Female,Economically inactive,Routine and manual occupations,Private rented,No,2,2,0,Eastern,other source,121,221
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,556,473
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,498,270
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,1002,785
Male,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,other source,12,447
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,1185,336
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,1066,764
Female,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,947,887
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,441,456
Male,Full-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,666,324
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,1185,553
Male,Full-time working,Intermediate occupations,Owned,Yes,2,2,0,Eastern,earnings,1185,670
Male,Economically inactive,Not classified for other reasons,Owned,No,2,2,0,Eastern,other source,639,351
Male,Full-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,1185,538
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,earnings,547,560
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,409,526
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,284,358
Female,Full-time working,Intermediate occupations,Private rented,Yes,2,2,0,Eastern,earnings,514,498
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,705,421
Female,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,530,313
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,earnings,472,669
Male,Part-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,778,1012
Male,Full-time working,Intermediate occupations,Owned,Yes,2,2,0,Eastern,other source,492,204
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,1185,804
Male,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,2,2,0,Eastern,earnings,1185,731
Female,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,543,934
Male,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,1185,271
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,577,667
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,1035,298
Male,Part-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,936,471
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,2,2,0,Eastern,earnings,420,480
Male,Unemployed and work related Government Training Programmes,Intermediate occupations,Owned,Yes,2,2,0,Eastern,earnings,1185,882
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,505,560
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,370,270
Male,Economically inactive,Not classified for other reasons,Public rented,Yes,2,2,0,Eastern,other source,295,357
Male,Full-time working,Routine and manual occupations,Public rented,Yes,2,2,0,Eastern,earnings,838,500
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,619,480
Male,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,other source,787,457
Male,Full-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,497,304
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,364,362
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,1185,1175
Female,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,253,209
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,1179,764
Male,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,2,2,0,Eastern,earnings,1185,979
Female,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,2,2,0,Eastern,earnings,1179,830
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,612,316
Female,Part-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,other source,351,260
Male,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,2,2,0,Eastern,earnings,505,358
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,474,346
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,1163,964
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,1185,682
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,1185,469
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,619,417
Male,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,other source,544,547
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,2,2,0,Eastern,earnings,801,522
Male,Economically inactive,Not classified for other reasons,Owned,Yes,2,2,0,Eastern,other source,589,489
Male,Full-time working,Intermediate occupations,Owned,Yes,2,2,0,Eastern,earnings,650,561
Male,Economically inactive,Not classified for other reasons,Public rented,No,2,2,0,Eastern,other source,437,393
Male,Full-time working,Routine and manual occupations,Owned,Yes,2,2,0,Eastern,earnings,710,582
